Name	Smiles
VENTILOQUINONE A	COc1c2c(c(O)c3c1C(=O)C1=C(C[C@H](C)O[C@@H]1C)C3=O)OCO2
ULITHIACYCLAMIDE B	CC(C)C[C@H]1NC(=O)[C@H]2N=C(O[C@@H]2C)[C@H]2CSSC[C@@H](NC(=O)c3csc1n3)C1=N[C@H](C(=O)N[C@H](Cc3ccccc3)c3nc(cs3)C(=O)N2)[C@@H](C)O1
SCHIZARIN B	CCC(C)C(=O)O[C@@H]1c2cc3c(c(O)c2-c2c(cc(OC)c(OC)c2OC)C[C@@H](C)[C@H]1C)OCO3
ALTERPORRIOL A/B	COc1cc(O)c2c(c1-c1c(OC)cc(O)c3c1C(=O)c1cc(C)c(O)cc1C3=O)C(=O)C1=C(C2=O)[C@H](O)[C@@H](O)[C@@](C)(O)[C@@H]1O
APLYSAMINE 4	Br.COc1c(Br)cc(C/C(=N\O)C(=O)NCCc2cc(Br)c(OCCCN)c(Br)c2)cc1Br
6,8,8-TRIETHYL DESMOSDUMOTIN B	CCC1=C(O)c2c(oc(-c3ccccc3)cc2=O)C(CC)(CC)C1=O
(R)-CHLORTHALIDONE	NS(=O)(=O)c1cc([C@]2(O)NC(=O)c3ccccc32)ccc1Cl
AJUGACUMBIN F	C/C=C(\C)C(=O)OC[C@@]12[C@@H](O)C[C@@H](C)[C@](C)(CCC3=CC(=O)OC3)[C@H]1CCC[C@]2(O)CO
METHAMOCTOL	CNC(C)CCCC(C)(C)O
DYSOXYLUMINS C	C=C1[C@@H]([C@@]2(C)[C@@H](OC(C)=O)CC(=O)O[C@](C)(COC(C)=O)[C@@H]2CC(=O)OC)[C@@H](OC=O)[C@H](OC(=O)[C@H](O)C(C)C)[C@@]2(C)[C@@H](c3ccoc3)[C@@H](OC(=O)[C@H](O)C(C)C)[C@H]3O[C@]132
MELOPHLIN M	CCCCCCCCCCC/C(O)=C1\C(=O)C(C)N(C)C1=O
ABYSSININ I	COc1cc(C2CC(=O)c3c(O)cc(O)cc3O2)cc2c1OC(C)(C)C=C2
PYRITHIONE SODIUM	[Na+].[O-]n1ccccc1=S
WILFORNINE E	CC(=O)OC[C@]12[C@H](OC(C)=O)C(=O)[C@@H]3[C@@H](OC(C)=O)[C@@]14O[C@@]3(C)COC(=O)c1cccnc1CC[C@@](C)(O)C(=O)O[C@@H]([C@H](OC(C)=O)[C@@H]2OC(C)=O)[C@]4(C)O
AMOORASTATONE	CC(=O)O[C@@H]1C[C@H](O)[C@@]23CO[C@H](O)[C@]1(C)[C@@H]2C[C@@H](O)[C@]1(C)[C@@H]3C(=O)C[C@@]2(C)[C@H](c3ccoc3)CC(=O)[C@H]21
LEUBETHANYL BENZOATE	CC(C)=CCC[C@H](C)[C@@H]1CC[C@@H](C)c2c(OC(=O)c3ccccc3)cc(C)cc21
METHYLACETYLEUCALYPTANOATE	COC(=O)[C@]12CCC(C)(C)C[C@@H]1C1=CC=C3[C@@]4(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2
DECINNAMOYLTAXININE	C=C1[C@@H](O)C[C@@H](OC(C)=O)[C@]2(C)[C@@H]1[C@H](OC(C)=O)[C@]1(O)C[C@H](OC(C)=O)C(C)=C([C@@H](OC(C)=O)[C@@H]2OC(C)=O)C1(C)C
CLATHSTEROL	CCCC(=O)OC(C(CC)C(C)C)C(OC(=O)CCC)[C@@H](C)[C@H]1[C@@H](O)[C@H](OC(C)=O)[C@H]2[C@@H]3CCC4C[C@H](OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])C[C@]4(C)[C@H]3CC[C@@]21C.[Na+].[Na+]
DEGLUCOCHEIROTOXOL	C[C@H]1O[C@@H](O[C@H]2CC[C@]3(CO)[C@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O
GONIOTRIOL	O=C1C=C[C@H](O)[C@H]([C@H](O)[C@H](O)c2ccccc2)O1
ISOCUPRESSIC ACID	C=C1CC[C@H]2[C@@](C)(C(=O)O)CCC[C@]2(C)[C@H]1CC/C(C)=C/CO
OBLONGIXANTHONE C	COc1cc(O)c2c(=O)c3c(CC=C(C)C)cc(O)c(O)c3oc2c1C/C=C(\C)CCC=C(C)C
GLAUCOLIDE A	C=C(C)C(=O)O[C@@H]1C[C@@H](OC(C)=O)C(=O)CC[C@]2(C)O[C@H]2[C@@H]2OC(=O)C(COC(C)=O)=C12
GINNALIN A	O=C(OC[C@H]1OC[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](O)[C@@H]1O)c1cc(O)c(O)c(O)c1
BUSSEALIN B	COc1cc(OC)c(CCCc2ccc(OC)c(O)c2O)cc1O
4-NITROPHENYL ACETATE	CC(=O)Oc1ccc([N+](=O)[O-])cc1
OXISURAN	C[S+]([O-])CC(=O)c1ccccn1
ALLONITIDINE METHYLSULFATE	COS(=O)(=O)[O-].COc1cc2ccc3c4cc5c(cc4c(OC)[n+](C)c3c2cc1OC)OCO5
MURAXANTHONE	O=C(O[C@H]1[C@H](c2c(O)cc3oc4cc(O)c(O)cc4c(=O)c3c2O)O[C@H](CO)[C@@H](O)[C@@H]1O)c1ccc(O)cc1
1-ISOTHIOCYANATOHEXANE	CCCCCCN=C=S
EPIHIPPURIN 1	CC(=O)O[C@@H]1C[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]3C[C@@H]3O[C@]4(C[C@H](C)C(C)(C)O4)[C@](C)(O)[C@@H]32)C[C@@H]1O
N-DECYL LATRUNCULIN B	CCCCCCCCCCN1C(=O)SC[C@H]1[C@@]1(O)C[C@H]2C[C@@H](CC[C@H](C)/C=C\CC/C(C)=C\C(=O)O2)O1
JUNCEELLOSIDE E	C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O[C@H]5OC[C@H](O)[C@H](O)[C@H]5O)CC[C@]4(CO)[C@H]3CC[C@@]21C)C(C)(C)OC(C)=O
PARASITENONE	O=C1C=C(CO)[C@H](O)[C@@H]2O[C@H]12
POTASSIUM ASPARTATE	N[C@@H](CC(=O)[O-])C(=O)O.N[C@@H](CC(=O)[O-])C(=O)O.O.[K+].[K+]
METHYL PHENYLPYRUVATE	COC(=O)C(=O)Cc1ccccc1
KAZUSAMYCIN A	CCC(=C/[C@H](C)C/C=C/C(C)=C/[C@@H](CO)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C/C(C)=C/C(=O)O)/C=C/[C@@H]1OC(=O)C=C[C@@H]1C
PYOCYANIN	Cn1c2cccc(=O)c-2nc2ccccc21
CORMETHASONE ACETATE	CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CC(F)(F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
CUPACINOXEPIN	CC1(C)OC(=O)CC[C@@]2(C)[C@H]1CC[C@@]1(C)O[C@]3(C)CC[C@@]4(C)C(C)(C)CCC[C@]4(C)[C@H]3CC[C@H]21
KOPSILOSCINE A	COC(=O)N1c2ccccc2[C@@]23CCN4CC=C[C@]5(CC[C@]12C(O)(C(=O)OC)C5O)[C@H]43
5-HYDROXYIMIDACLOPRID	O=[N+]([O-])/N=C1\NCC(O)N1Cc1ccc(Cl)nc1
PESTALOFONE E	COC(=O)c1cc(OC)cc2oc3c(CC(=O)[C@@]4(O)C[C@H](O)[C@@H]5O[C@]5(CC=C(C)C)[C@@H]4O)c(C)c(CC(C)=O)c(O)c3c(=O)c12
PROXIBARBAL	C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O
ADOZELESIN	Cc1c[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)c1cc4cc(NC(=O)c5cc6ccccc6o5)ccc4[nH]1)C3=CC2=O
MIRINCAMYCIN	CCCCC[C@H]1CN[C@H](C(=O)N[C@@H]([C@@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)C1
SIKKIMENOID B	C=C1CC[C@H]2[C@@H]([C@H]3[C@H](C)C(=O)C4=C(C(=O)[C@H](C)C4)[C@H]13)C2(C)C
MONOMETHYL RADICICOL	COc1cc(O)c2c(c1Cl)CC(=O)/C=C/C=C\[C@H]1O[C@@H]1C[C@@H](C)OC2=O
POTASSIUM MORPHOLINOCARBAMODITHIOATE	S=C([S-])NN1CCOCC1.[K+]
DIBROMODEOXYTOPSENTIN	O=C(c1ncc(-c2c[nH]c3cc(Br)ccc23)[nH]1)c1c[nH]c2cc(Br)ccc12
LOPHODIENONE	C=C(C)[C@@H]1CC[C@]2(C)O[C@H]2CC[C@H](C)/C=C/C=C(/C)C(=O)C1
4-(ISOBUTYLSULFONYL)PYRIDIN-2-YL METHANESULFONATE	CC(C)CS(=O)(=O)c1ccnc(OS(C)(=O)=O)c1
NEOPETROSIAMINE A	C1=C\CCCCN2CC[C@@H]3[C@@H](CCCC/C=C\CCCCN4C[C@H](CCCC/1)C[C@H]3C4)C2
ARISANSCHININ L	COc1cc2c(c(O)c1OC)-c1c(cc3c(c1OC)OCO3)C[C@@H](C)[C@@H](O)[C@H]2C(=O)c1ccccc1
AURICLOSENE MONOSODIUM MONOHYDRATE	CC(C)(CS(=O)(=O)[O-])N(Cl)Cl.O.[Na+]
CHLORINDANOL	Oc1ccc(Cl)c2c1CCC2
BETA-SITOSTENONE	CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C
MAJORENOLIDE	C=CCCCCCCCCC/C=C1\CC(CO)OC1=O
SANFETRINEM SODIUM	CO[C@H]1CCC[C@H]2C1=C(C(=O)[O-])N1C(=O)[C@H]([C@@H](C)O)[C@@H]21.[Na+]
BACCHARIN B2	CC1=C[C@H]2O[C@@H]3C[C@H]4OC(=O)/C=C\C=C\[C@H]([C@H](C)O)OC[C@H](O)[C@@H](C)CC(=O)OC[C@@]2(C[C@H]1O)[C@]4(C)[C@]31CO1
TYROSCHERIN1	CC[C@H](C)C[C@H](C)/C=C/CC[C@@H](O)[C@@H](Cc1ccc(O)cc1)NC
MEBENOSIDE	COC1O[C@H]([C@@H](COCc2ccccc2)OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1O
ETHYL DIMETHYL AMMONIO PROPANE SULFONATE	CC[N+](C)(C)CCCS(=O)(=O)[O-]
GLYCYLSARCOSINE	CN(CC(=O)O)C(=O)CN
CINERIN C	C=CCC1=C[C@@]2(OC)[C@H](O)[C@@](OC)(C1=O)[C@H](c1cc(OC)c3c(c1)OCO3)[C@H]2C
VISMIAQUINONE B	COc1cc2c(c(O)c1CC(=O)C(C)C)C(=O)c1c(O)cc(C)cc1C2=O
DEMETHYLAAPTAMINE	Oc1cc2ccnc3cc[nH]c(c1O)c23
NEGUNDOIN G	C=C[C@@]1(C)CCC2C(=C[C@@H](O)[C@H]3C(C)(C)CCC[C@]23CO)C1=O
RENIEROSIDE A1	CCCCCC/C=C\CCCCCCCCCCCCCCCCCC[C@@H](O)C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)/C=C/CC/C=C/C=C/CCCCCCC
FIJIANOLIDE A	C=C1C[C@H](C)C[C@@H]2CC=C[C@@H](C/C=C\C(=O)O[C@H]3C[C@@H](O[C@H]3/C=C/[C@@H]3CC(C)=CCO3)[C@@H](O)[C@@H](O)C1)O2
3BETA-O-(2-METHYLBUTYRYL)MOROCCOLIDE A	C=C1C(=O)O[C@@H]2[C@H]1CCC(C)=C1[C@@H]2[C@]2(C)O[C@H]1[C@@H]2OC(=O)C(C)CC
MURABUTIDE	CCCCOC(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@H]1[C@H](O)[C@@H](CO)OC(O)[C@@H]1NC(C)=O
C-1311	CCN(CC)CCNc1ccc2ncn3c4ccc(O)cc4c(=O)c1c23
PLERIXAFOR OCTAHYDROCHLORIDE	Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1
DENDRONPHOLIDE Q	C=C1C(=O)O[C@]2(C)CC[C@@H]1C[C@@H](OC(C)=O)[C@@]1(C)CC[C@H](O1)[C@@](C)(O)CC[C@@H]2OC(C)=O
QUINELORANE HYDROCHLORIDE	CCCN1CCC[C@@H]2Cc3nc(N)ncc3C[C@H]21.Cl.Cl
CAESALMIN D	CC(=O)O[C@H]1CCC(C)(C)[C@]2(O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H]3[C@H](Cc4occc4[C@]3(C)O)[C@@]12C
VATINOXAN HYDROCHLORIDE	CS(=O)(=O)NCCN1C(=O)NC[C@]12CCN1CCc3c(oc4ccccc34)[C@@H]1C2.Cl
KNIGHTOL ACETATE	C=C(C)[C@@H]1C/C=C(/COC(C)=O)CC[C@H]2O[C@]2(C)CC/C=C(\C)CC1
HEMATOXYLENE	Oc1ccc(CC2=Cc3ccc(O)c(O)c3OC2)cc1O
PROPYNOIC ACID ETHYL ESTER	C#CC(=O)OCC
AUSTRICIN	CC1=CC(=O)C2=C(C)C[C@H](O)[C@H]3[C@H](C)C(=O)O[C@@H]3[C@@H]12
CYANOJORUMYCIN	COC1=C(C)C(=O)C2=C(C1=O)[C@@H]1[C@@H]3CC4=C(C(=O)C(OC)=C(C)C4=O)[C@H](COC(C)=O)N3[C@@H](C#N)[C@H](C2)N1C
ABACAVIR SUCCINATE	Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1.O=C(O)CCC(=O)O
POLYANDROL	CC1=CC(=O)O[C@@H]1[C@@]1(C)C[C@H]2OC(=O)[C@H](O)[C@H]3[C@@H](C)[C@@H](O)[C@]4(O)OC[C@@]32[C@@H]14
STYRAXLIGNOLIDE B	COc1cc([C@@H]2OC[C@H]3[C@H](c4ccc5c(c4)OCO5)OC(=O)[C@H]32)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
MICROPYRONE	CCC(C)C(=O)C(C)c1oc(=O)c(C)c(O)c1C
VIRIDOXIN B	C=C1CC[C@H]2[C@](C)(CCC=C(C)C)[C@@H](OC(=O)[C@H](O)[C@@H](C)CC)CC[C@]2(C)[C@@H]1Cc1c(OC)oc(C)c(C)c1=O
SEPETAPROST	CC(C)OC(=O)CCC[C@H]1CC[C@H]2[C@H](C[C@@H](O)[C@@H]2/C=C/[C@@H](O)COc2cc(F)ccc2F)OC1
HYDROXINDASATE	COc1ccc(Cn2c(C)c(CCN)c3cc(OC(C)=O)ccc32)cc1
HACHIJODINE D	CONCCCCCCCCCCC(C)Cc1cccnc1
GRANDISINE C	C[C@H]1C[C@H](O)CC2=C1C(=O)[C@H]1[C@@H]3CCCN3CC[C@H]1O2
NYLESTRIOL	C#C[C@]1(O)[C@H](O)C[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C
FOMITOSIDE H	COC(=O)CC(C)(O)CC(=O)O[C@@H]1CC[C@]2(C)C3=C(CC[C@H]2C1(C)C)[C@]1(C)CC[C@H]([C@@H](CCC=C(C)C)C(=O)O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@]1(C)CC3
(2,4-DICHLOROPHENYL)(HYDROXY)METHYLPHOSPHONIC ACID	O=P(O)(O)C(O)c1ccc(Cl)cc1Cl
EUROPINE	CO[C@@H](C)[C@](O)(C(=O)OCC1=CCN2CC[C@H](O)[C@@H]12)C(C)(C)O
ISOPENTYL FERULATE	COc1cc(/C=C/C(=O)OCCC(C)C)ccc1O
PERIGLAUCINE A	CO[C@@H]1C(=O)C[C@]23CCN(C)[C@@]24C[C@@H](O[C@]14OC)c1cc2c(cc13)OCO2
MYROCIN A	C=C[C@@]1(C)C=C2C(=O)C(O)=C3[C@](C)(C(=O)O)CC[C@@H]4C[C@]34[C@]2(O)C(=O)C1
MACROLACTIN F	C[C@@H]1CCC/C=C/CCC(=O)C[C@@H](O)C/C=C\C=C\[C@@H](O)C/C=C/C=C\C(=O)O1
SODIUM BENZYLCARBAMODITHIOATE	S=C([S-])NCc1ccccc1.[Na+]
MOLUCCENSIN L	CC[C@H](C)C(=O)O[C@H]1[C@@]2(C)C[C@@]3(OC(=O)[C@@H](C)CC)[C@@](C)([C@H]2CC(=O)OC)[C@H]2CC[C@]4(C)C(=C2C(=O)[C@@]13O)CC(=O)O[C@H]4c1ccoc1
6-Cl-2-Ph-D-DIBOA	O=C1C(c2ccccc2)Oc2ccc(Cl)cc2N1O
GARCINIELLIPTONE M	CC(C)=CC[C@H]1C[C@]2(C(=O)C(C)C)C(=O)[C@@](CC=C(C)C)(C(=O)C3=C2O[C@H](C(C)(C)O)C3)C1(C)C
FALINTOLOL	C/C(=N\OCC(O)CNC(C)(C)C)C1CC1
EMILIUM	CC[N+](C)(C)Cc1cccc(OC)c1
PICFELTARRACEMIN VI	CC(C)C1=CC(=O)[C@](C)([C@H]2[C@H](O)C[C@@]3(C)[C@@H]4CC=C5[C@@H](CC[C@@H](O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6O)C5(C)C)[C@]4(C)C(=O)C[C@]23C)O1
4,5-ISOBUDLEIN A	C=C1C2=CC(=O)[C@@](C)(C[C@@H](OC(=O)/C(C)=C\C)[C@H]3C(=C)C(=O)O[C@@H]3[C@H]1O)O2
CYCLOSPONGIAQUINONE-1	COC1=CC(=O)C2=C(C[C@@H]3[C@@]4(C)CCCC(C)(C)[C@@H]4CC[C@@]3(C)O2)C1=O
JUNCEELLOLIDE C	C=C1/C=C/[C@H](OC(C)=O)[C@@]2(C)[C@@H](OC(C)=O)CC[C@]3(CO3)[C@@H]2[C@H](OC(C)=O)[C@]2(O)[C@@H](C)C(=O)O[C@H]2[C@H]1Cl
SUBERIPHENOL	CC(=O)O[C@@H]1C[C@@]2(C)CC(c3ccc(C)c(O)c3)=CC[C@H]2[C@@]2(C)CCCC(C)(C)[C@H]12
LUDONGNIN A	C=C1C(=O)[C@]23C[C@H]1C[C@@H](O)[C@H]2[C@@]1(CCC[C@@]2(C)COC(=O)[C@H]21)COC3=O
CATIONIC AMPHIPHILE	CCCCCCCCCCCCCCCC[N+](C)(C)C[C@@H](OC)[C@@H](C[N+](C)(C)CCCCCCCCCCCCCCCC)OC.[Br-].[Br-]
PHOTINIDE D	C[C@@H]1CC(=O)O[C@H]1/C(CO)=C1/Oc2cccc(O)c2C1=O
TAXUSPINE S	C=C1[C@@H](OC(=O)/C=C/c2ccccc2)C[C@H](OC(C)=O)[C@@]2(CO)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@]3(O)[C@]4(C)OC[C@@]3(C)[C@@H](CC4=O)[C@@H](OC(C)=O)[C@H]12
APLYSIILLIN A	O=S(=O)([O-])OC(=C\c1cc(O)c(O)c(Br)c1)/C(=C\c1ccc(O)c(Br)c1)OS(=O)(=O)[O-].[Na+].[Na+]
DEXTILIDINE	CCOC(=O)[C@]1(c2ccccc2)CCC=C[C@H]1N(C)C
MACAFLAVANONE B	CC(C)=CCC/C(C)=C/Cc1c([C@@H]2CC(=O)c3c(cc4c(c3O)C=CC(C)(C)O4)O2)ccc(O)c1O
3',4'-DIMETHOXY-AURONE	COc1ccc(/C=C2\Oc3ccccc3C2=O)cc1OC
TETRADECYLTRIMETHYLPHOSPHONIUM CHLORIDE	CCCCCCCCCCCCCC[P+](C)(C)C.[Cl-]
INOKOSTERONE	CC(CO)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C
TMPYP4 CHLORIDE	C[n+]1ccc(-c2c3nc(c(-c4cc[n+](C)cc4)c4ccc([nH]4)c(-c4cc[n+](C)cc4)c4nc(c(-c5cc[n+](C)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1.[Cl-].[Cl-].[Cl-].[Cl-]
ORBOFIBAN ACETATE	CC(=O)O.CC(=O)O.CC(=O)O.CC(=O)O.CCOC(=O)CCNC(=O)N[C@H]1CCN(c2ccc(C(=N)N)cc2)C1=O.CCOC(=O)CCNC(=O)N[C@H]1CCN(c2ccc(C(=N)N)cc2)C1=O.CCOC(=O)CCNC(=O)N[C@H]1CCN(c2ccc(C(=N)N)cc2)C1=O.CCOC(=O)CCNC(=O)N[C@H]1CCN(c2ccc(C(=N)N)cc2)C1=O.O
ISO-ISARIIN B	CCCCC(C)C1CC(=O)NCC(=O)N[C@@H](C(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)O1
INDACRINONE	CC1(c2ccccc2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O
NORCAESALPININ B	CC(=O)O[C@H]1C[C@@H](OC(C)=O)C(C)(C)[C@]2(O)CC[C@H]3C(=O)c4ccoc4C[C@@H]3[C@@]12C
EUPHOPORTLANDOL A	CC(=O)OC1[C@]2(O)CC3=C([C@H](OC(C)=O)C(C)(C)C3=O)[C@@]1(C)[C@@H](OC(C)=O)[C@@]1(O)C[C@H](C)[C@H](OC(=O)c3ccccc3)[C@@H]1[C@H]2OC(C)=O
MADOLIN A	CC1(C)[C@H]2/C=C(/C=O)CC[C@H]3O[C@]3(C)CC[C@H]21
AQUILARABIETIC ACID A	CC(C)[C@@]1(O)C=C2[C@H](O)C[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@@]2(O)CC1
KOPSILONGINE	COC(=O)N1c2c(OC)cccc2[C@@]23CCN4CCCC5(CCC12[C@](O)(C(=O)OC)C5)[C@H]43
GIBBEROKETOSTEROL	C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@]4(O)C[C@@H](O)C[C@H](O)[C@]4(C)[C@H]3CC[C@@]21C)C(C)C
ANNOGLAXIN	CCCCCCCCCC[C@H](O)C[C@@H](O)[C@H]1CC[C@H]([C@H](O)CCC(=O)CCC[C@H](O)CCCCCC2=C[C@H](C)OC2=O)O1
PRONTOCIL	CC(=O)Nc1cc2c(O)c(/N=N/c3ccc(S(N)(=O)=O)cc3)c(S(=O)(=O)O)cc2cc1S(=O)(=O)O
DIGALLIC ACID	O=C(O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1
METOPON HYDROCHLORIDE	CN1CC[C@]23c4c5ccc(O)c4O[C@@]2(C)C(=O)CC[C@H]3[C@H]1C5.Cl
DITIOCADE	CCON(CC)C(=S)S
CALICOFEROL F	Cc1ccc(O)cc1CC[C@H]1[C@@H]2CC[C@H]([C@H](C)/C=C/C(C)C(C)C)[C@@]2(C)CC[C@H]1O
JODRELLIN A	CC(=O)OC1O[C@@H]2C[C@@H]3[C@@](C)([C@@H]4C[C@H]5C=CO[C@H]5O4)[C@H](C)C[C@H](OC(C)=O)[C@]13[C@@]1(CO1)C2
AGOSTEROL C2	CC(=O)O[C@H]1C=C2[C@@H]3CC[C@H]([C@@](C)(O)[C@H](O)CCC(C)C)[C@@]3(C)CC[C@@H]2[C@@]2(C)CC[C@H](O)[C@H](OC(C)=O)[C@H]12
KANKANOSIDE I	C[C@@H]1O[C@@H](CO[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O
3BETA-HYDROXY-16ALPHA-(4-CHLORO PHENYLAMINO)-PREGN-5-EN-20-ONE	CC(=O)[C@H]1[C@H](Nc2ccc(Cl)cc2)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
DISTACHYASIN	COC1=CC(=O)[C@@]2(O)C[C@H]3[C@H](c4ccccc4C3(C)C)[C@@H](O)C2=C1
5alpha-CHOLESTAN-3beta-OL-6-ONE	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
RUBIARBONONE B	CC(C)[C@@H]1C[C@@H](O)[C@H]2[C@@]1(CO)CC[C@@]1(C)[C@H]3C(=CC[C@]21C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O
SMILASIDE E	COc1cc(/C=C/C(=O)OC[C@H]2O[C@@](COC(=O)/C=C/c3ccc(O)cc3)(O[C@H]3O[C@H](COC(C)=O)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](OC(=O)/C=C/c3ccc(O)c(OC)c3)[C@@H]2O)ccc1O
KANSHONE B	C[C@@H]1C[C@@H](O)C=C2C(=O)C[C@H]3OOC(C)(C)[C@H]3[C@]21C
SEMIPLENAMIDE G	CCCCCCCCCCCCCCC[C@H]1O[C@]1(C)C(=O)NC(C)COC(C)=O
3-exo-butoxy-1,8-cineole	CCCC(=O)O[C@H]1C[C@@]2(C)CC[C@H]1C(C)(C)O2
KAMOLONOL	C[C@H]1C(=O)CC[C@@H]2[C@]1(C)[C@H](O)C[C@@H](C)[C@@]2(C)COc1ccc2ccc(=O)oc2c1
L-ARABINOSE	O[C@H]1CO[C@@H](O)[C@H](O)[C@H]1O
PAEDEROSIDE	CSC(=O)OCC1=C[C@@H]2OC(=O)C3=CO[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]1[C@@H]32
ANIPAMIL	CCCCCCCCCCCCC(C#N)(CCCN(C)CCc1cccc(OC)c1)c1cccc(OC)c1
CYTOSPORONE M	COC(=O)Cc1cc(O)cc(O)c1C(=O)CCCCCC(C)O
SCHIZARIN C	CCCCCC(=O)O[C@@H]1c2cc3c(c(O)c2-c2c(cc(OC)c(OC)c2OC)C[C@@H](C)[C@H]1C)OCO3
RO-054082	CN1C(=O)CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc21
BR-XANTHONE A	CC1(C)CCc2c(cc3oc4cc(O)c5c(c4c(=O)c3c2O)CCC(C)(C)O5)O1
ZERUMIN B	C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C[C@@H](O)C1=CC(O)OC1=O
SECOTANAPARTHOLIDE B	C=C1C(=O)O[C@H]([C@@H]2C(=O)C=C[C@]2(C)O)[C@H]1CCC(C)=O
MADAGASCARENSILIDE D	CO[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@]4(C=O)[C@H]5CC[C@]6(C)[C@@H](C7=CC(=O)OC7)CC[C@]6(O)[C@@H]5CC[C@]4(O)C3)O[C@@H]2C)O[C@H](C)[C@H]1O[C@H]1C[C@@H](OC)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](C)O1
ZAHAVIN A	C=C(C)C(CC(OC(C)=O)C1=CO[C@H](OC(C)=O)[C@H]2C(=C)CC/C=C(\C)CC[C@H]12)OC(C)=O
HAMABIWALACTONE B	C=CCCCCCCCC/C=C/C1=C[C@H](C)OC1=O
GSK-619487A	CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC3CCNCC3)c21.O=C(O)C(F)(F)F
LAEVIGATOL D	C/C1=C/[C@]2(O)OC[C@@]3(C)O[C@@]23CC[C@](C)(O)/C=C/C[C@@](C)(O)[C@@H](O)CC1
